#from fluorescence xafs of SrTiO3
#Energy_(eV) f''_(electrons)
4.805124023743404905e+03 5.077317022577483296e-01
4.810084973479588371e+03 5.067571927276798283e-01
4.815045923215773655e+03 5.057854538228296892e-01
4.820006872951957121e+03 5.048164747185852619e-01
4.824967822688142405e+03 5.038503027330542006e-01
4.829928772424325871e+03 5.028868961368442303e-01
4.834889722160511155e+03 5.019262170123379718e-01
4.840098719383504431e+03 5.009204277628549473e-01
4.845059669119689715e+03 4.999663949290840681e-01
4.850020618855873181e+03 4.990150987199255539e-01
4.854981568592058466e+03 4.980664850085991247e-01
4.859942518328241931e+03 4.971206067462390354e-01
4.864903468064427216e+03 4.961777180162290080e-01
4.870112465287420491e+03 4.951905374467437948e-01
4.875073415023603957e+03 4.942530715659281260e-01
4.880034364759789241e+03 4.933184589393088681e-01
4.884995314495972707e+03 4.923868238486610593e-01
4.889956264232157992e+03 4.914577970790535710e-01
4.894917213968341457e+03 4.905313685960876469e-01
4.899878163704526742e+03 4.896077537993819284e-01
4.905087160927520017e+03 4.886409458114465698e-01
4.910048110663705302e+03 4.877228077593874778e-01
4.915009060399888767e+03 4.868072269858362278e-01
4.919970010136074052e+03 4.858942171581542291e-01
4.924930959872257517e+03 4.849837557912565211e-01
4.929891909608442802e+03 4.840758224136444410e-01
4.935100906831436077e+03 4.831252025621937118e-01
4.940061856567619543e+03 4.822233193416601837e-01
4.945022806303804828e+03 4.813241342766880759e-01
4.949983756039988293e+03 4.804274362133959531e-01
4.954944705776173578e+03 4.795332157002503704e-01
4.955192753262983388e+03 4.794885695413713123e-01
4.955440800749791379e+03 4.794439295516728095e-01
4.955688848236601189e+03 4.793993006067894247e-01
4.955936895723410998e+03 4.793546905210640530e-01
4.956184943210218989e+03 4.793100865992336312e-01
4.956432990697028799e+03 4.792654888401235436e-01
4.956681038183838609e+03 4.792208972425673896e-01
4.956929085670646600e+03 4.791763118053952164e-01
4.957177133157456410e+03 4.791317325274324079e-01
4.957425180644266220e+03 4.790871594075072348e-01
4.957673228131074211e+03 4.790425924444506878e-01
4.957921275617884021e+03 4.789980316370986979e-01
4.958169323104693831e+03 4.789534769842787032e-01
4.958417370591501822e+03 4.789089284848199179e-01
4.958665418078311632e+03 4.788643861375528887e-01
4.958913465565121442e+03 4.788198499413141018e-01
4.959161513051929433e+03 4.787753198949289968e-01
4.959409560538739242e+03 4.787307959972354476e-01
4.959657608025549052e+03 4.786862782470590605e-01
4.959905655512357043e+03 4.786417666432379314e-01
4.960153702999166853e+03 4.785972611846062152e-01
4.960401750485976663e+03 4.785527618699922381e-01
